"date","Q.lawrence_Ls","Q.wakarusa_Ls","Q.stranger_Ls","Q.desoto_Ls","Q.farmland_Ls","Nitrate.farmland_mgNL","Ammonia.farmland_mgNL","Nitrate.bowersock_mgNL","Ammonium.bowersock_mgNL","Ammonia.bowersock_mgNL","Nitrate.desoto_mgNL","Ammonium.desoto_mgNL","Ammonia.desoto_mgNL","Nitrate.steve_mgNL","Ammonium.steve_mgNL","Ammonia.steve_mgNL","Nitrate.eric_mgNL","Ammonium.eric_mgNL","Ammonia.eric_mgNL","NitrateLoad.farmland_kgNday","NitrateLoad.bowersock_kgNday","NitrateLoad.desoto_kgNday","NitrateLoad.steve_kgNday","NitrateLoad.eric_kgNday","AmmoniaLoad.farmland_kgNday","AmmoniaLoad.bowersock_kgNday","AmmoniaLoad.desoto_kgNday","AmmoniaLoad.steve_kgNday","AmmoniaLoad.eric_kgNday","AmmoniumLoad.bowersock_kgNday","AmmoniumLoad.desoto_kgNday","AmmoniumLoad.steve_kgNday","AmmoniumLoad.eric_kgNday"
2018-01-01,53235.584,159.240705,330.834613,53825.51733,0,535,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-02,57078.01644,174.838542,286.070472,65836.56,0,535,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-03,60686.78902,182.510625,229.599277,60833.92533,0,535,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-04,66686.064,179.301388,201.462233,61093.496,12.99658,535,247,0,0,0,0,0,0,0,0,0,0,0,0,600.75391392,0,0,0,0,277.357414464,0,0,0,0,0,0,0,0
2018-01-05,78508.328,181.366154,194.088067,68691.83733,12.491859,580,250,0,0,0,0,0,0,0,0,0,0,0,0,625.992038208,0,0,0,0,269.8241544,0,0,0,0,0,0,0,0
2018-01-06,81977.136,175.404878,231.824493,74732.75467,0,563,248.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-07,66365.06821,186.660806,257.783169,75110.312,0,546,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-08,54296.48078,195.795924,308.5551,59654.05867,0,529,245.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-09,52772.48633,210.028065,430.612919,53542.34933,11.230055,512,244,0,0,0,0,0,0,0,0,0,0,0,0,496.781697024,0,0,0,0,236.747527488,0,0,0,0,0,0,0,0
2018-01-10,60697.25744,225.000573,611.790363,54722.216,15.394008,465,225,0,0,0,0,0,0,0,0,0,0,0,0,618.469665408,0,0,0,0,299.25951552,0,0,0,0,0,0,0,0
2018-01-11,64208.61114,501.832689,884.9,60621.54933,20.441224,492,217,0,0,0,0,0,0,0,0,0,0,0,0,868.9319027712,0,0,0,0,383.2484205312,0,0,0,0,0,0,0,0
2018-01-12,43651.02141,267.226575,902.833973,50521.89067,0,372,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-13,43498.85897,244.645353,864.842267,49530.80267,0,297.875,148.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
